class,org,org_type,pi_first,pi_sur,title,pclass,status,owner,end,grant,scheme,start,total
Data Handling & Storage,University of Oxford,FELLOW,Christian,Wolf,Evolution of active and quiescent galaxies from deep redshift and morphology surveys,Astronomy Observation,Closed,STFC,3/31/2009,Fellowship,Advanced Fellowship,4/1/2004,122872.74
Beyond the Standard Model,University of Liverpool,LEAD ORGANISATION,John,Dainton,Cockcroft Institute: An International Centre for Accelerator Science and Technology.,Particle physics - experiment,Closed,STFC,3/31/2009,Research Grant,Standard,9/1/2004,7028234.24
Beyond the Standard Model,University College London,FELLOW,Ruben,Saakyan,Measurements of the neutrino mass spectrum with oscillation and double beta decay experiments,Particle physics - experiment,Closed,STFC,9/30/2009,Fellowship,Advanced Fellowship,10/1/2004,236269.22
Beyond the Standard Model,University of Cambridge,FELLOW,Benjamin,Allanach,Collider Tests Beyond the Standard Model,Particle physics - experiment,Closed,STFC,9/30/2009,Fellowship,Advanced Fellowship,10/1/2004,112747.36
Data Handling & Storage,University of Trieste,COLLABORATOR,James,Emerson,VISTA - Consortium &amp; PI: Commissioning; Acceptance and Science Verification tasks.,Astronomy Observation,Closed,STFC,12/31/2009,Research Grant,AstroProjects,9/1/2005,241242.28
Beyond the Standard Model,University of Edinburgh,FELLOW,Luigi,Del Debbio,Non-perturbative dynamics in Yang-Mills theories: from hadronic structure to string theory,Particle physics - experiment,Closed,STFC,9/30/2010,Fellowship,Advanced Fellowship,10/1/2005,244444.88
Condensed Matter Physics,University of Cambridge,LEAD ORGANISATION,Christopher,Pickard,A new solid-state theory for the prediction of Nuclear Magnetic Resonance J-coupling constants,"Supercond, magn. &quant.fluids",Closed,EPSRC,3/31/2006,Research Grant,First Grant Scheme Pre-FEC,1/1/2006,119166.97
Materials Processing,University of Warwick,LEAD ORGANISATION,Diane,Holland,Structural characterisation of novel roller-quenched glasses - access to new glass forming regions,Materials processing,Closed,EPSRC,4/30/2006,Research Grant,Standard Research (Pre-FEC),1/1/2006,19868.7478
Fundamentals of Computing,University of Southampton,LEAD ORGANISATION,John,Shawe-Taylor,Inference in Complex Stochastic Dynamic Environmental Models,Info. & commun. Technol.,Closed,EPSRC,6/30/2006,Research Grant,Standard Research (Pre-FEC),1/1/2006,219251.508
Nuclear structure,Puppetman Productions,COLLABORATOR,Robert,Cywinski,The Pocket Professor- a paradigm shift in the television presentation of physics for children,Nuclear physics,Closed,EPSRC,12/31/2006,Research Grant,PPE PreFEC,1/1/2006,81470.74
Civil Engineering Materials,University of Sheffield,LEAD ORGANISATION,Neil Brennan,Milestone,Development of a New Low pH Cementitious Matrix for Immobilising Nuclear Wastes Containing Reactive Metals,Materials processing,Closed,EPSRC,12/31/2006,Research Grant,Overseas Travel Grants Pre-FEC,1/1/2006,16582.9
Materials Characterisation,Swansea University,LEAD ORGANISATION,Valerie,Randle,Feasibility study: trial application of grain boundary plane enginering to commercially pure titanium,Materials sciences,Closed,EPSRC,12/31/2006,Research Grant,Standard Research (Pre-FEC),1/1/2006,62664.15
Medical science & disease,University of Southampton,LEAD ORGANISATION,Timothy G,Leighton,A passive acoustic system for evaluating the in vivo performance of extracorporeal shockwave lithotripsy,Medical & health interface,Closed,EPSRC,12/31/2006,Research Grant,Follow on Fund (Pre-FEC),1/1/2006,57311.33
Vision & Senses - ICT appl.,Sunnybrook Technologies Inc,COLLABORATOR,Alan,Chalmers,High Dynamic Range for High Fidelity Image Synthesis of Real Scenes,Info. & commun. Technol.,Closed,EPSRC,2/28/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,324148.88
Materials Characterisation,The University of Manchester,LEAD ORGANISATION,Matthew,Halsall,THz electro-optics of nitride semiconductors: a feasibility study,Materials sciences,Closed,EPSRC,3/31/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,18233.2
Aerodynamics,University of Bath,LEAD ORGANISATION,Ismet,Gursul,Measurements of unsteady vortical flows with high speed Particle Image Velocimetry,Mechanical engineering,Closed,EPSRC,6/30/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,70643.13
Lasers & Optics,University of Southampton,LEAD ORGANISATION,Jacob,Mackenzie,Axisymmetric Laser Sources with Planar Gain Media,"Optics, photonics & lasers",Closed,EPSRC,12/31/2007,Research Grant,First Grant Scheme Pre-FEC,1/1/2006,117613.7492
Materials Characterisation,University of Birmingham,LEAD ORGANISATION,Ian,Jones,Effects of carbon on the mechanical Properties &amp; Microstructure of a Nb-based alloy,Materials sciences,Closed,EPSRC,1/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,118015.9936
Materials Characterisation,University of Surrey,LEAD ORGANISATION,Richard,Curry,Development and Study of Hybrid Organic-Colloidal Quantum Dot Systems,Materials sciences,Closed,EPSRC,3/31/2008,Research Grant,First Grant Scheme Pre-FEC,1/1/2006,121970.3436
Tectonic Processes,Durham University,LEAD ORGANISATION,Roger Clive,Searle,Structure and evolution of Axial Volcanic Ridges: Constraining the architecture; chronology and evolution of ocean ridge magmatism.,Geosciences,Closed,NERC,8/31/2008,Research Grant,Standard Grants Pre FEC,1/1/2006,210152.88
Energy Efficiency,ANSYS,PROJECT PARTNER,Malcolm,Cook,Modelling the human occupancy factor in the design of naturally ventilated buildings,Energy,Closed,EPSRC,11/30/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,220374.53
Mathematical Physics,Imperial College London,LEAD ORGANISATION,Bogdan,Stefanski,Unravelling the Non-Perturbative Structure of Gauge Theory,Mathematical sciences,Closed,EPSRC,12/31/2008,Fellowship,Advanced Fellowship (Pre-FEC),1/1/2006,270754.71
Fluid Dynamics,University of Cambridge,LEAD ORGANISATION,Matthew,Lim,Design of tissue engineering bioreactors using Magnetic resonance imaging and two photon microscopy,Process engineering,Closed,EPSRC,12/31/2008,Fellowship,Postdoc Res Fellowship PreFEC,1/1/2006,140464.55
Aerodynamics,BAE Systems,COLLABORATOR,Kwing-So,Choi,Active Control of Turbulent Flow Separation by Surface Plasma,Mechanical engineering,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,188838.03
Instrumentation Eng. & Dev.,University of St Andrews,LEAD ORGANISATION,Graham,Smith,Prototype EPR/NMR instrument for DNP-enhanced studies of biological systems using high resolution NMR microscopy and spectroscopy,Chemical measurement,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,141137.3
Materials testing & eng.,University of Reading,LEAD ORGANISATION,Anthony,Atkins,Purchase Variable Frequency Ultrasonic Generator to tune frequency to material to enable all materials to be cut ultrasonically,Civil eng. & built environment,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,12279
Electric Motor & Drive Systems,University of Nottingham,LEAD ORGANISATION,Seamus,Garvey,Cables for Monochromatic Magnetic Transmission of Power,Electrical engineering,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,205464.45
Design & Testing Technology,University of Bristol,LEAD ORGANISATION,David,Wagg,NETWORK: Hybrid Numerical-Experimental Testing for Complex Engineering Systems,Manufacturing,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,57369.84
Aerodynamics,University of Southampton,LEAD ORGANISATION,Ian P,Castro,Turbulence in breaking gravity waves - a computational study,Mechanical engineering,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,192237.5092
Quantum Optics & Information,University College London,LEAD ORGANISATION,Andrew,Fisher,Coherence in low-energy excitations of magnetic systems,"Optics, photonics & lasers",Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,354535.27
VLSI Design,University of Cambridge,LEAD ORGANISATION,Simon,Moore,Communication Centric Microelectronic Design,Info. & commun. Technol.,Closed,EPSRC,3/31/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,474054.08
Medical science & disease,University of Nottingham,LEAD ORGANISATION,Christopher,Hayes,Chemically Modified siRNAs for the Treatment of Gastrointestinal Cancer,Medical & health interface,Closed,EPSRC,5/31/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,321427.185
Lasers & Optics,University of Lisbon,COLLABORATOR,Dino Anthony,Jaroszynski,Theoretical studies of Raman Scattering and Chirped Pulse Amplification in Plasma,"Optics, photonics & lasers",Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,319789.4938
Instrumentation Eng. & Dev.,University of Bristol,LEAD ORGANISATION,Paul,Wilcox,Efficient Structural Health Monitoring Using Sparse Distributed Sensor Arrays,Chemical measurement,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,206026.055
Fundamentals of Computing,Swansea University,LEAD ORGANISATION,John,Tucker,Foundations of computing with continuous data: algorithms versus experiments with physical systems,Info. & commun. Technol.,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,258041.73
RF & Microwave Technology,Imperial College London,LEAD ORGANISATION,Jeffrey,Hand,RF power absorption and temperature changes in mother/fetus and neonates associated with MRI examinations.,Info. & commun. Technol.,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,246618.85
System on Chip,University of Southampton,LEAD ORGANISATION,Michael,Kraft,Advanced and Intelligent Interface Circuits for Capacitive MEMS Sensors - The E and S in MEMS,Info. & commun. Technol.,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,110984.11
Image & Vision Computing,Association for Biometrics,PROJECT PARTNER,Michael,Fairhurst,Integrating Research and Industrial biometrics Strategies (IRIS),Info. & commun. Technol.,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,63872.22
Quantum Optics & Information,Hewlett Packard plc,COLLABORATOR,Peter,Smith,Engineered photonic qubits for integrated optical quantum computing networks,"Optics, photonics & lasers",Closed,EPSRC,9/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,303738.44
Biomaterials,Royal National Orthopaedic Hospital,PROJECT PARTNER,Michael,Craggs,A Novel Stimulator Implant with Sensory Feedback for Multi-Functional Restoration after Spinal Cord Injury,Atomic & molecular physics,Closed,EPSRC,9/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,534856.9966
Fundamentals of Computing,City University London,LEAD ORGANISATION,Sebastian,Hunt,Quantitative Information Flow,Info. & commun. Technol.,Closed,EPSRC,12/31/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,96356.8298
Analytical Science,University of Glasgow,LEAD ORGANISATION,Stephen,Wimperis,Satellite-Transition MAS: A New Technique for High-Resolution Quadrupolar NMR,"Tools, technologies & methods",Closed,EPSRC,12/31/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,229921.45
New & Emerging Comp. Paradigms,University of Leeds,LEAD ORGANISATION,Netta,Cohen,Amorphous computation; random graphs and complex biological networks,Info. & commun. Technol.,Closed,EPSRC,9/30/2010,Research Grant,Standard Research (Pre-FEC),1/1/2006,612868.47
New & Emerging Comp. Paradigms,University of Sheffield,LEAD ORGANISATION,Christopher,Cannings,Amorphous computation; random graphs and complex biological networks,Info. & commun. Technol.,Closed,EPSRC,9/30/2010,Research Grant,Standard Research (Pre-FEC),1/1/2006,848607.0296
Mathematical Physics,University of Miami,COLLABORATOR,Paul,Townsend,Fuzzy Geometry and the Quantum M-Theory Super-Fivebrane,Mathematical sciences,Closed,EPSRC,12/31/2010,Fellowship,Senior Fellowship (Pre-FEC),1/1/2006,348955.41
Lasers & Optics,University of Leeds,LEAD ORGANISATION,Catherine Elizabeth,Towers,Optimum Multi-Wavelength Interferometric Sensing: Absolute Metrology from Nanometres to 100m,"Optics, photonics & lasers",Closed,EPSRC,12/31/2010,Fellowship,Advanced Fellowship (Pre-FEC),1/1/2006,245557.95
Fluid Dynamics,Imperial College London,LEAD ORGANISATION,Spencer,Sherwin,Arteries and Algorithms: Computational physiological flow and arterial disease modelling,Process engineering,Closed,EPSRC,12/31/2010,Fellowship,Advanced Fellowship (Pre-FEC),1/1/2006,356881.24
Materials Characterisation,University of Cambridge,LEAD ORGANISATION,Judith,Driscoll,Near Room Temperature Growth of Dilute Magnetic Semiconductor Oxides: Visiting Fellowship for Dr. Ying Lin Liu,Materials sciences,Closed,EPSRC,1/2/2007,Research Grant,Standard Research (Pre-FEC),1/3/2006,58604.81
Civil Engineering Materials,Building Research Establishment Ltd BRE,PROJECT PARTNER,Ahmed,Elghazouli,Failure Assessment Of Floor Slab Systems Under Extreme Loading Conditions,Materials processing,Closed,EPSRC,1/2/2009,Research Grant,Standard Research (Pre-FEC),1/3/2006,240290.52
Quantum Optics & Information,Hewlett Packard plc,COLLABORATOR,Ian,Walmsley,Engineered photonic qubits for integrated optical quantum computing networks,"Optics, photonics & lasers",Closed,EPSRC,7/2/2009,Research Grant,Standard Research (Pre-FEC),1/3/2006,401744.79
Light-Matter Interactions,University of Nottingham,LEAD ORGANISATION,Andrei,Khlobystov,IDEAS Factory - Chemical Craftwork: Directed Assembly of Functional Patterns (Brianchell),Atomic & molecular physics,Closed,EPSRC,7/2/2009,Research Grant,Standard Research (Pre-FEC),1/3/2006,59030.9548
Analytical Science,Ionoptika Ltd,PROJECT PARTNER,Roger,Webb,New Developments in ToF-SIMS Surface Mass Spectrometry with ATR-IR Spectroscopy,"Tools, technologies & methods",Closed,EPSRC,1/2/2010,Research Grant,Standard Research (Pre-FEC),1/3/2006,227208.062
Instrumentation Eng. & Dev.,Imperial College London (ICL),COLLABORATOR,jemma,wadham,Automated biogeochemical sensing of icy ecosystems (resubmitted),Chemical measurement,Closed,EPSRC,1/2/2011,Research Grant,Standard Research (Pre-FEC),1/3/2006,566140.88
Environment & Health,Loughborough University,LEAD ORGANISATION,David,Ryves,Calibrating lake sediment records as proxies of environmental change in East Africa: integrating lacustrine; climatic and epidemiological archives,Medical & health interface,Closed,NERC,2/3/2009,Research Grant,New Investigators Pre FEC,1/4/2006,40428.29
Materials Processing,Qinetiq Ltd,COLLABORATOR,Andrew,Turberfield,Replacement Laser for Holographic Fabrication of Photonic Crystals,Materials processing,Closed,EPSRC,7/5/2006,Research Grant,Standard Research (Pre-FEC),1/6/2006,59925
Lasers & Optics,Pilkington Group Limited,COLLABORATOR,Li,Lin,Next Generation Industrial Lasers for Super-high Speed Precision Manufacturing (NEGLAP),"Optics, photonics & lasers",Closed,EPSRC,7/8/2008,Research Grant,Standard Research (Pre-FEC),1/9/2006,581996.56
Condensed Matter Physics,Defence Science & Tech Lab DSTL,COFUNDER,Mike,Gillan,First-principles thermodynamics of metals under extreme conditions,"Supercond, magn. &quant.fluids",Closed,EPSRC,1/8/2009,Research Grant,Standard Research (Pre-FEC),1/9/2006,184559.43
Instrumentation Eng. & Dev.,BAE Systems,COLLABORATOR,Paul,Nolan,DISTINGUISH: Detection of explosive substances by tomographic inspection using neutron and gamma-ray spectroscopy,Chemical measurement,Closed,EPSRC,7/8/2009,Research Grant,Standard Research (Pre-FEC),1/9/2006,169231.4
Electrochemical Science & Eng.,University of Surrey,LEAD ORGANISATION,Robert,Slade,Membrane and Alcohol Fuel Cell INTERACT with China,Catalysis & surfaces,Closed,EPSRC,10/11/2006,Research Grant,Overseas Travel Grants Pre-FEC,1/12/2006,20289.93
Fundamentals of Computing,London School of Economics & Pol Sci,LEAD ORGANISATION,E,Mitleton- Kelly,Taught Course for Researchers; on Complexity Science and Complex Social Systems.,Info. & commun. Technol.,Closed,EPSRC,1/15/2008,Research Grant,Standard Research (Pre-FEC),1/16/2006,74406.9
Acoustics,University of York,LEAD ORGANISATION,Damian,Murphy,SpACE-Net - The Spatial Audio Creative Engineering Network,Mechanical engineering,Closed,EPSRC,7/15/2008,Research Grant,Standard Research (Pre-FEC),1/16/2006,42946.1808
Materials Synthesis & Growth,European Commission (EC),COLLABORATOR,J,Attfield,High Pressure and Temperature Synthesis of New Electronic Perovskite Oxides,Materials sciences,Closed,EPSRC,1/15/2009,Research Grant,Standard Research (Pre-FEC),1/16/2006,363671.5146
Analytical Science,Police Forensic Science Laboratory Dunde,COLLABORATOR,Lorna,Dawson,Integration of Soil Fingerprinting Techniques for Forensic Applications (Soilfit),"Tools, technologies & methods",Closed,EPSRC,1/15/2009,Research Grant,Standard Research (Pre-FEC),1/16/2006,314319.79
Biomaterials,University of Leeds,LEAD ORGANISATION,David,Wood,Novel aesthetic dental restorative materials,Atomic & molecular physics,Closed,EPSRC,1/15/2009,Research Grant,Standard Research (Pre-FEC),1/16/2006,102642.695
Materials Synthesis & Growth,University of Geneva,PROJECT PARTNER,James Floyd,Scott,Nano-structured capacitor elements via self assembly on nano-porous alumina,Materials sciences,Closed,EPSRC,7/20/2009,Research Grant,Standard Research (Pre-FEC),1/21/2006,194935.91
Fundamentals of Computing,University of Abertay Dundee,LEAD ORGANISATION,James,Bown,Feasibility Study: Integrating Games-Based Learning and Computational Modelling to Control MRSA.,Info. & commun. Technol.,Closed,EPSRC,5/31/2006,Research Grant,Standard Research (Pre-FEC),2/1/2006,15198.04
Materials Characterisation,University of Sheffield,LEAD ORGANISATION,W,Rainforth,Investigating deformation microstructure evolution and transformation behaviour of steel using controlled thermomechanical compression,Materials sciences,Closed,EPSRC,7/31/2006,Research Grant,Standard Research,2/1/2006,40234.13
Climate & Climate Change,University of Cambridge,LEAD ORGANISATION,Nicholas,Shackleton,Millennial-scale variability in North Atlantic superficial and deep water circulation during Marine Isotope Stages 22-20.,Climate & climate change,Closed,NERC,7/31/2006,Research Grant,Directed Pre FEC,2/1/2006,12217.16
Climate & Climate Change,Marine Biological Association,LEAD ORGANISATION,Stephen,Hawkins,The consequences of the forecast cold winter on the biogeographic range and population structure of intertidal species,Climate & climate change,Closed,NERC,10/31/2006,Research Grant,Small Grants (FEC),2/1/2006,67622.59
Vision & Senses - ICT appl.,University of Bristol,LEAD ORGANISATION,Alan,Chalmers,Case for Support: A Feasability Study into Visual Attention Models for Exploring Complex Information.,Info. & commun. Technol.,Closed,EPSRC,11/30/2006,Research Grant,Standard Research (Pre-FEC),2/1/2006,13516.385
Multiphase Flow,Imperial College London,LEAD ORGANISATION,Peter,Spelt,Entrainment of drops and bubbles from adhering surfaces,Process engineering,Closed,EPSRC,2/29/2008,Research Grant,First Grant Scheme Pre-FEC,2/1/2006,125929.42
Complex fluids & soft solids,University of Leeds,LEAD ORGANISATION,Richard,Williams,Fabrication of re-usable materials based on mineral particulates,Catalysis & surfaces,Closed,EPSRC,4/30/2008,Research Grant,Standard Research (Pre-FEC),2/1/2006,335350.6618
Fundamentals of Computing,University of Leicester,LEAD ORGANISATION,Alexander,Kurz,Coalgebras; Modal Logic; Stone Duality,Info. & commun. Technol.,Closed,EPSRC,5/31/2008,Research Grant,First Grant Scheme Pre-FEC,2/1/2006,118516.298
Image & Vision Computing,University of Ulster,LEAD ORGANISATION,Sonya,Coleman,Direct Range Image Processing (DRIP),Info. & commun. Technol.,Closed,EPSRC,7/31/2008,Research Grant,First Grant Scheme Pre-FEC,2/1/2006,125952.28
Surfaces & Interfaces,Imperial College London,LEAD ORGANISATION,Bhavik,Patel,CHEMICAL CHARACTERISATION OF SYNAPTOGENESIS,Catalysis & surfaces,Closed,EPSRC,1/31/2009,Fellowship,Postdoc Res Fellowship PreFEC,2/1/2006,139525.94
Tectonic Processes,Newcastle University,LEAD ORGANISATION,Matt,King,Antarctica on the scales: Present-day mass balance of the Antarctic Peninsula from time-variable gravity field measurements,Geosciences,Closed,NERC,1/31/2009,Fellowship,Postdoctoral Fellow,2/1/2006,154705.06
Instrumentation Eng. & Dev.,Imperial College London (ICL),COLLABORATOR,Achillefs,Kapanidis,Mechanistic analysis of gene-expression machinery and DNA nanodevices using single-molecule fluorescence spectroscopy,Chemical measurement,Closed,EPSRC,1/31/2009,Research Grant,First Grant Scheme Pre-FEC,2/1/2006,121217.33
Vision & Senses - ICT appl.,Harman Becker Automotive Systems,COLLABORATOR,Russell,Mason,The role of head movement in the analysis of spatial impression,Info. & commun. Technol.,Closed,EPSRC,1/31/2009,Research Grant,First Grant Scheme Pre-FEC,2/1/2006,113577.3892
Aerodynamics,Imperial College London,LEAD ORGANISATION,Jonathan,Morrison,Turbulent flows over rough walls,Mechanical engineering,Closed,EPSRC,1/31/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,260441.43
Boundary Layer Meteorology,University of Leeds,LEAD ORGANISATION,Mathew,Evans,SHip emissions: Impact and Parameterisation (SHIP),Atmospheric phys. & chemistry,Closed,NERC,5/31/2009,Research Grant,Standard Grants Pre FEC,2/1/2006,152273.06
Instrumentation Eng. & Dev.,Imperial College London,LEAD ORGANISATION,Daniel,Rueckert,Model-based 2D-3D registration and tracking of deformable objects for image-guided minimally invasive cardiac interventions,Chemical measurement,Closed,EPSRC,7/31/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,262791.56
Materials Characterisation,King's College London,LEAD ORGANISATION,Alessandro,De Vita,Interfacial strengthening of metallic and ceramic alloys: a modelling framework for bridging length scales,Materials sciences,Closed,EPSRC,7/31/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,206469.27
Intelligent & Expert Systems,Royal Hallamshire Hospital,PROJECT PARTNER,Mahdi,Mahfouf,Fuzzy Granular Decision Support for Ventilator Optimisation in Critically ill Patients using Electrical Impedance Tomography (EIT),Systems engineering,Closed,EPSRC,7/31/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,224214.2118
Quantum Fluids & Solids,Newcastle University,LEAD ORGANISATION,Carlo,Barenghi,Vortices and solitons in finite-temperature Bose-Einstein condensates,"Supercond, magn. &quant.fluids",Closed,EPSRC,8/31/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,176823.6836
Water In The Atmosphere,University of Reading,LEAD ORGANISATION,Robin,Hogan,Evaluation of clouds in climate and forecasting models using CloudSat and Calipso data.,Atmospheric phys. & chemistry,Closed,NERC,9/30/2009,Research Grant,Standard Grants Pre FEC,2/1/2006,198569.75
Water In The Atmosphere,University of Reading,LEAD ORGANISATION,Anthony,Illingworth,Improvement of stratocumulus representation in models by the use of high resolution observations,Atmospheric phys. & chemistry,Closed,NERC,12/31/2009,Research Grant,Standard Grants Pre FEC,2/1/2006,245992.96
Scattering & Spectroscopy,CERN,PROJECT PARTNER,Mike,Charlton,Trapped Antihydrogen - Towards Spectroscopy,Atomic & molecular physics,Closed,EPSRC,1/31/2010,Research Grant,Standard Research (Pre-FEC),2/1/2006,787314.98
Analytical Science,University of Cambridge,LEAD ORGANISATION,Chris,Abell,PLATFORM: Exploring the Potential of Compartmentalisation for Selections and Ultra-high-throughput Screening,"Tools, technologies & methods",Closed,EPSRC,7/31/2011,Research Grant,Platform Grants (Pre-FEC),2/1/2006,428640.4244
Fundamentals of Computing,University of Reading,PROJECT PARTNER,Ian,Roulstone,Inference in Complex Stochastic Dynamic Environmental Models,Info. & commun. Technol.,Closed,EPSRC,2/1/2010,Research Grant,Standard Research (Pre-FEC),2/2/2006,149961.5202
Climate & Climate Change,University of Reading,LEAD ORGANISATION,Andrew,Charlton-Perez,Global change in the Stratosphere and its impact on Tropospheric Climate,Climate & climate change,Closed,NERC,9/5/2008,Fellowship,Postdoctoral Fellow,2/6/2006,125564.19
Materials Characterisation,Penn State University,COLLABORATOR,Andrew,Wills,NSF: Quantum Frustration,Materials sciences,Closed,EPSRC,11/5/2009,Research Grant,Standard Research (Pre-FEC),2/6/2006,533577.75
Medical Imaging,University College London,LEAD ORGANISATION,David,Hawkes,Minimal Access Navigated Orthopaedic Surgery (MAcNavOS),"Tools, technologies & methods",Closed,EPSRC,8/13/2009,Research Grant,Technology Programme (Pre-FEC),2/14/2006,398285.9568
Cosmology,The University of Manchester,LEAD ORGANISATION,Stefan,Soldner-Rembold,Design study of the SuperNEMO experiment,Particle astrophysics,Closed,STFC,8/13/2009,Research Grant,Standard,2/14/2006,293999.67
Med.Instrument.Device& Equip.,Imperial College London,LEAD ORGANISATION,Sergei,Kazarian,Spectroscopic imaging of skin and its application to (trans)dermal delivery,Medical & health interface,Closed,EPSRC,11/14/2008,Research Grant,Standard Research (Pre-FEC),2/15/2006,176707.73
Electronic Devices & Subsys.,University of Birmingham,LEAD ORGANISATION,Mike,Cherniakov,Ultra Wide Band signature analysis for detection of weapons &amp; explosives,Info. & commun. Technol.,Closed,EPSRC,8/15/2008,Research Grant,Technology Programme (Pre-FEC),2/16/2006,204366.3012
Climate & Climate Change,National Oceanography Centre,LEAD ORGANISATION,Ian,Brooks,Field Observations of Sea Spray; Gas Fluxes and Whitecaps (SEASAW),Climate & climate change,Closed,NERC,2/15/2009,Research Grant,Directed Pre FEC,2/16/2006,236798.23
Climate & Climate Change,National Oceanography Centre,LEAD ORGANISATION,Andrew,Watson,Marine Biogeochemistry and Ecosystem Initiative in QUEST (MARQUEST).,Climate & climate change,Closed,NERC,2/16/2010,Research Grant,Directed Pre FEC,2/17/2006,59887.88
Eng. Dynamics & Tribology,Defence Science & Tech Lab DSTL,COFUNDER,Rafal,Zbikowski,Controllable Demonstrator for Insect-like Flapping Wing Micro Air Vehicles (MAVs),Mechanical engineering,Closed,EPSRC,2/19/2009,Research Grant,Standard Research (Pre-FEC),2/20/2006,269268.4
Surfaces & Interfaces,University of Warwick,LEAD ORGANISATION,David,Woodruff,New insights into complex molecule-surface interactions through local structure determination,Catalysis & surfaces,Closed,EPSRC,8/19/2009,Research Grant,Standard Research (Pre-FEC),2/20/2006,291284.0368
Materials Characterisation,Loughborough University,LEAD ORGANISATION,Jon,Binner,Visit Of Prof John Booske To The UK Regarding The 'Microwave Effect',Materials sciences,Closed,EPSRC,3/26/2006,Research Grant,Standard Research (Pre-FEC),2/27/2006,11949.35
Climate & Climate Change,University of Reading,LEAD ORGANISATION,Jonathan,Gibbins,The UK Carbon Capture and Storage Consortium.,Climate & climate change,Closed,NERC,2/27/2009,Research Grant,TSEC Pre FEC,2/28/2006,77520.19
Fundamentals of Computing,City University London,LEAD ORGANISATION,Celia A.,Glass,An investigation into routing algorithms for optical networks,Info. & commun. Technol.,Closed,EPSRC,11/30/2006,Research Grant,Discipline Hopping Pre-FEC,3/1/2006,34461.4092
Catalysis & Applied Catalysis,University of Cambridge,LEAD ORGANISATION,Heike,Arnolds,Tailored Surface Plasmon Enhanced Photocatalysis,Catalysis & surfaces,Closed,EPSRC,6/30/2007,Research Grant,Standard Research (Pre-FEC),3/1/2006,259290.96
Climate & Climate Change,University of Oxford,LEAD ORGANISATION,Gideon,Henderson,Precisely dated records of sea level and environmental change from Tahiti.,Climate & climate change,Closed,NERC,2/29/2008,Research Grant,Directed Pre FEC,3/1/2006,122257.41
Image & Vision Computing,University of Liverpool,LEAD ORGANISATION,David,Canter,An Interactive Modus Operandi Visualisation System Integrating Geographical Information For Suspect Prioritisation and Investigation Management(iMOV),Info. & commun. Technol.,Closed,EPSRC,6/30/2008,Research Grant,Standard Research (Pre-FEC),3/1/2006,100501.185
Analytical Science,Police Forensic Science Laboratory Dunde,PROJECT PARTNER,Wolfram,Meier-Augenstein,Isotope Profiling of Drugs: A Tool to Disrupt Organised Crime; Detect Serious Crime and Reduce Volume Crime.,"Tools, technologies & methods",Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),3/1/2006,113589.78
RF & Microwave Technology,Russian Academy of Sciences,COLLABORATOR,Alan,Phelps,Wave dispersion measurements of helically corrugated waveguides using a Vector Network Analyser,Info. & commun. Technol.,Closed,EPSRC,2/28/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,212786.23
Fundamentals of Computing,The University of Manchester,LEAD ORGANISATION,Jeff,Paris,n-ary Inductive Logic,Info. & commun. Technol.,Closed,EPSRC,2/28/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,164356.464
