class,org,org_type,pi_first,pi_sur,title,pclass,status,owner,end,grant,scheme,start,total
Fundamentals of Computing,University of St Andrews,LEAD ORGANISATION,Roy,Dyckhoff,Lexicalized Proof-Theoretic Semantics for Natural Language,Info. & commun. Technol.,Closed,EPSRC,8/31/2007,Research Grant,Standard Research,2/1/2007,59303.93
Oil & Gas Extraction,University of Nottingham,LEAD ORGANISATION,Patrick,Wheeler,Downhole Gas Compressor Motor Drive for Production Enhancement from Gas Fields,Process engineering,Closed,EPSRC,4/30/2008,Research Grant,Technology Programme,2/1/2007,87632.86
Ecosystem Scale Processes,Zoological Soc London Inst of Zoology,LEAD ORGANISATION,Nicholas,Isaac,A unified approach to studying animal abundance: integrating evolution; ecology and scale dependency,Terrest. & freshwater environ.,Closed,NERC,5/31/2008,Fellowship,Postdoctoral Fellow (FEC),2/1/2007,214175.35
Data Handling & Storage,University of Bologna (Università di Bologna UNIBO),COLLABORATOR,James,Binney,Support for the Radial Velocity Experiment,Astronomy Observation,Closed,STFC,1/31/2009,Research Grant,Standard,2/1/2007,74501.34
Biological membranes,University of Oxford,LEAD ORGANISATION,Carmen,Domene,Quantum Simulations for Chemical Biology,Biomolecules & biochemistry,Closed,EPSRC,1/31/2009,Research Grant,Standard Research,2/1/2007,21116.67
Condensed Matter Physics,University College London,LEAD ORGANISATION,Dorothy,Duffy,Investigating energy transport and equilibration under non-equilibrium conditions,"Supercond, magn. &quant.fluids",Closed,EPSRC,1/31/2009,Research Grant,First Grant Scheme,2/1/2007,189647.04
Condensed Matter Physics,University of Bath,LEAD ORGANISATION,James John,Davies,Excitons in motion,"Supercond, magn. &quant.fluids",Closed,EPSRC,8/31/2009,Research Grant,Standard Research,2/1/2007,272167.44
Materials Characterisation,Queen's University of Belfast,LEAD ORGANISATION,Vincent,Fusco,Parametric Artificial Phase Conjugation Media With Automatic Evanescent Wave Amplification Properties,Materials sciences,Closed,EPSRC,1/31/2010,Research Grant,Standard Research (Pre-FEC),2/1/2007,208839.8082
Materials Characterisation,Los Alamos National Laboratory,PROJECT PARTNER,Robin,Grimes,Selection and Optimization of Radiation Detector Materials,Materials sciences,Closed,EPSRC,1/31/2010,Research Grant,Standard Research,2/1/2007,96370.67
Rheology,University of Cambridge,LEAD ORGANISATION,Malcolm,Mackley,Multipass Rheometer Development (Multi-Project Equipment Grant),Process engineering,Closed,EPSRC,6/30/2010,Research Grant,Standard Research,2/1/2007,157885.47
Energy Efficiency,Natural Environment Research Council,COFUNDER,Adisa,Azapagic,Carbon Calculations over the Life Cycle of IndustrIal Activities (CCaLC),Energy,Closed,EPSRC,7/31/2010,Research Grant,Standard Research,2/1/2007,979435.22
Materials Synthesis & Growth,University of East Anglia,LEAD ORGANISATION,Sean,Bew,C-Cycle,Materials sciences,Closed,EPSRC,7/31/2010,Research Grant,Standard Research,2/1/2007,88279.44
Atmospheric Kinetics,University of Leeds,LEAD ORGANISATION,John,Plane,New particles in the atmosphere: two non-classical examples,Atmospheric phys. & chemistry,Closed,NERC,7/31/2010,Research Grant,Standard Grant (FEC),2/1/2007,594899.82
Data Handling & Storage,University of Glasgow,LEAD ORGANISATION,Graham,Woan,Square Kilometre Array Design Study (SKADS),Astronomy Observation,Closed,STFC,7/31/2010,Research Grant,Standard (FEC),2/1/2007,306855.98
Complexity Science,University of Hull,LEAD ORGANISATION,Angela,Espinosa,Defying the rules: How self-regulatory social systems work,Complexity science,Closed,EPSRC,10/31/2010,Research Grant,Standard Research,2/1/2007,97243.58
Theoretical biology,University of Glasgow,LEAD ORGANISATION,William,Sloan,Developing theory on the formation; composition and structure of open microbial communities that can be used in engineering design,"Tools, technologies & methods",Closed,EPSRC,1/31/2012,Fellowship,Advanced Fellowship,2/1/2007,518536.04
Materials Characterisation,University of Leeds,LEAD ORGANISATION,Rik,Brydson,SuperSTEM - the UK aberration-corrected STEM facility,Materials sciences,Closed,EPSRC,1/31/2012,Research Grant,Standard Research (Pre-FEC),2/1/2007,446236.9822
Optical Phenomena,The University of Manchester,LEAD ORGANISATION,Alexander,Grigorenko,Negative index metamaterials for visible-light optics.,"Optics, photonics & lasers",Closed,EPSRC,2/11/2010,Research Grant,Standard Research,2/12/2007,468874.32
Solar Technology,Tata Steel UK,PROJECT PARTNER,James,Durrant,Metal substrate mounted flexible dye sensitised semiconductor solar cells,Energy,Closed,EPSRC,5/11/2010,Research Grant,Standard Research,2/12/2007,508128.78
Materials Synthesis & Growth,Linkoping University,COLLABORATOR,Franco,Cacialli,SONSEUROCORES: SUPRAmolecular MATerials for new functional StructurES (SUPRAMATES),Materials sciences,Closed,EPSRC,8/13/2010,Research Grant,Standard Research,2/14/2007,302729.04
Cold Atomic Species,University College London,LEAD ORGANISATION,Ferruccio,Renzoni,Cooling of Atoms in Optical Cavities by Collective Dynamics,Atomic & molecular physics,Closed,EPSRC,2/18/2010,Research Grant,Standard Research,2/19/2007,457631.8
Materials Synthesis & Growth,CNRS,PROJECT PARTNER,Mohamed,Henini,Nanoscale Microwave Sources Based on Planar Spin Oscillators for Integrating Wireless Communications on the Computing Platform,Materials sciences,Closed,EPSRC,2/21/2010,Research Grant,Standard Research,2/22/2007,65195.48
Materials Characterisation,University of Cambridge,LEAD ORGANISATION,Mark,Blamire,Platform Grant Application: Nanoscale Processing and Characterisation of Magnetic Materials,Materials sciences,Closed,EPSRC,7/31/2012,Research Grant,Platform Grants,2/25/2007,969918.65
Materials Characterisation,University of Bristol,LEAD ORGANISATION,Peter,Flewitt,A preliminary study of the modelling and microstructural requirements for brittle fracture of martensitic materials,Materials sciences,Closed,EPSRC,8/31/2007,Research Grant,Standard Research,3/1/2007,42851.1
Materials Characterisation,University of Surrey,LEAD ORGANISATION,A,Crocker,A preliminary study of the modelling and microstructural requirements for brittle fracture of martensitic materials,Materials sciences,Closed,EPSRC,8/31/2007,Research Grant,Standard Research,3/1/2007,38183.77
New & Emerging Comp. Paradigms,University of the West of England,LEAD ORGANISATION,Andrew,Adamatzky,EPSRC Workshop on Unconventional Computing,Info. & commun. Technol.,Closed,EPSRC,2/29/2008,Research Grant,Standard Research,3/1/2007,37049.59
Climate & Climate Change,Cardiff University,LEAD ORGANISATION,Caroline,Lear,Did the oceans cool during the Eocene-Oligocene greenhouse-icehouse transition?,Climate & climate change,Closed,NERC,2/29/2008,Research Grant,Small Grants (FEC),3/1/2007,25803.29
Climate & Climate Change,University of Plymouth,LEAD ORGANISATION,Simon,Belt,Climate change in the Holocene: A multi-proxy case study,Climate & climate change,Closed,NERC,2/29/2008,Research Grant,Small Grants (FEC),3/1/2007,38670.9
Materials Characterisation,Cardiff University,LEAD ORGANISATION,Fabio,Biancalana,NONLINEAR RESONANT OPTICAL PHENOMENA AND SOLITONS IN POLARITONIC PHOTONIC CRYSTALS,Materials sciences,Closed,EPSRC,12/31/2008,Fellowship,Postdoc Research Fellowship,3/1/2007,172246.92
Fundamentals of Computing,University of Southampton,LEAD ORGANISATION,Pawel,Sobocinski,Foundations of Process Calculi and Contextual Systems,Info. & commun. Technol.,Closed,EPSRC,3/31/2009,Fellowship,Postdoc Research Fellowship,3/1/2007,147285.54
Electrochemical Science & Eng.,University of Leeds,LEAD ORGANISATION,Yulong,Ding,A Contiunuous and Fully Scalable Interfacial Reactor for Nanoparticle Production,Catalysis & surfaces,Closed,EPSRC,5/31/2009,Research Grant,Discipline Hopping Awards,3/1/2007,59342.96
Fluid Dynamics,University of Nottingham,LEAD ORGANISATION,Kenneth,Cliffe,Bifurcation phenomena in the flow through a sudden expansion in a pipe.,Process engineering,Closed,EPSRC,6/30/2009,Research Grant,Standard Research,3/1/2007,140825.84
Materials Characterisation,University of Hull,LEAD ORGANISATION,Maria,Francesconi,Negative Magnetoresistivity and Metallic-Like Conductivity in One-Dimensional Ternary Sulphides,Materials sciences,Closed,EPSRC,2/28/2010,Research Grant,Standard Research,3/1/2007,91615.4
Materials Characterisation,University of the West of Scotland,LEAD ORGANISATION,Frank,Placido,Low Cost Flexible Active Matrix Backplane for Flexible Substrates (LoCoFAMS),Materials sciences,Closed,EPSRC,2/28/2010,Research Grant,Technology Programme,3/1/2007,348939.32
Materials Synthesis & Growth,Cardiff University,LEAD ORGANISATION,John,Macdonald,Porphyrin single molecule wires for nanoelectronics,Materials sciences,Closed,EPSRC,5/31/2010,Research Grant,Standard Research,3/1/2007,326998.13
Energy Efficiency,Thomas Swan Scientific Equipment Ltd,PROJECT PARTNER,Philip,Dawson,Materials Challenges in GaN-based Light Emitting Structures,Energy,Closed,EPSRC,7/31/2010,Research Grant,Standard Research,3/1/2007,523431.36
